NUMBER,TIMESTAMP,GAS_USED,BASE_FEE_PER_GAS,SEGMENT,GAS_TERCILE
22203995,2025-04-05 16:46:11+00:00,13507413,483250781,1,1
22204633,2025-04-05 18:54:35+00:00,11067714,440914754,1,1
22211594,2025-04-06 18:15:23+00:00,9902867,10718012650,1,1
22220055,2025-04-07 22:39:11+00:00,9456064,607992780,1,1
22221929,2025-04-08 04:55:59+00:00,11478036,460963668,1,1
22228259,2025-04-09 02:06:59+00:00,9702263,2080781013,1,1
22234762,2025-04-09 23:53:47+00:00,13484929,532370650,1,1
22237314,2025-04-10 08:24:59+00:00,12911318,648233434,1,1
22241637,2025-04-10 22:53:11+00:00,11977176,432060899,1,1
22242646,2025-04-11 02:15:23+00:00,11249681,428854387,1,1
22255843,2025-04-12 22:23:35+00:00,11158527,473801350,1,1
22257956,2025-04-13 05:27:47+00:00,12302014,432238495,1,1
22264160,2025-04-14 02:12:35+00:00,7708549,408460136,1,1
22268169,2025-04-14 15:37:59+00:00,13251288,4902171048,1,1
22273003,2025-04-15 07:49:47+00:00,9470153,387721394,1,1
22280026,2025-04-16 07:21:11+00:00,9539122,433739143,1,1
22283695,2025-04-16 19:38:23+00:00,5703355,383132547,1,1
22284987,2025-04-16 23:58:11+00:00,1398248,349589665,1,1
22288361,2025-04-17 11:16:59+00:00,945952,372625217,1,1
22304899,2025-04-19 18:40:11+00:00,11966071,343497284,1,1
22309558,2025-04-20 10:16:11+00:00,11923879,348143117,1,1
22356609,2025-04-26 23:50:11+00:00,12143352,403888532,1,1
22357701,2025-04-27 03:28:47+00:00,4962815,453925985,1,1
22359921,2025-04-27 10:53:47+00:00,7708572,384527068,1,1
22363684,2025-04-27 23:29:11+00:00,4666290,372867709,1,1
22364216,2025-04-28 01:15:47+00:00,13384002,415677615,1,1
22367053,2025-04-28 10:45:23+00:00,8513632,986135263,1,1
22392594,2025-05-02 00:33:47+00:00,10661697,528526351,1,1
22402421,2025-05-03 09:41:11+00:00,10140585,388511348,1,1
22404041,2025-05-03 15:05:59+00:00,13402201,377551552,1,1
22404925,2025-05-03 18:03:11+00:00,11945533,365569712,1,1
22409398,2025-05-04 09:06:35+00:00,12682697,347792626,1,1
22413713,2025-05-04 23:37:35+00:00,12512773,355456612,1,1
22414756,2025-05-05 03:08:11+00:00,12691223,365188554,1,1
22204595,2025-04-05 18:46:59+00:00,20265696,431184755,1,2
22210099,2025-04-06 13:14:35+00:00,18925693,466061535,1,2
22210194,2025-04-06 13:33:35+00:00,19311235,487274002,1,2
22210462,2025-04-06 14:27:23+00:00,14053863,483212775,1,2
